,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type
0,28,1250000.0,3.0,3.0,2.0,Serviced Residence,1335.0,0,built-up 
1,14,6800000.0,6.0,7.0,0.0,Bungalow,6900.0,1,land area 
2,18,1030000.0,3.0,4.0,2.0,Condominium (Corner),1875.0,1,built-up 
4,9,900000.0,5.0,3.0,2.0,Condominium (Corner),1513.0,1,built-up 
5,46,5350000.0,6.0,5.0,4.0,Bungalow,7200.0,1,land area 
7,46,2600000.0,5.0,4.0,4.0,Semi-detached House,3600.0,1,land area 
8,46,1950000.0,5.0,4.0,3.0,2-sty Terrace/Link House (EndLot),1875.0,1,land area 
9,41,385000.0,3.0,2.0,1.0,Apartment (Intermediate),904.0,1,built-up 
11,46,1680000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),22.0,1,land area 
12,46,1700000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),1900.0,1,land area 
13,46,4580000.0,7.0,5.0,5.0,Bungalow (Intermediate),6000.0,1,land area 
15,46,3100000.0,5.0,3.0,0.0,Semi-detached House (Intermediate),3600.0,1,land area 
16,10,9000000.0,7.0,7.0,4.0,Bungalow (Corner),8500.0,1,land area 
17,14,4500000.0,6.0,7.0,0.0,Bungalow (Corner),4842.0,1,built-up 
18,30,1780000.0,5.0,4.0,2.0,Condominium (Corner),1830.0,1,built-up 
19,30,3450000.0,5.0,6.0,3.0,Condominium (Corner),3720.0,0,built-up 
20,16,1500000.0,5.0,4.0,2.0,Condominium (Corner),1798.0,1,built-up 
21,14,1550000.0,1.0,1.0,1.0,Serviced Residence (Intermediate),904.0,0,built-up 
22,30,1500000.0,4.0,4.0,3.0,Condominium,2163.0,0,built-up 
23,30,1450000.0,4.0,4.0,0.0,Condominium,2163.0,0,built-up 
24,5,490000.0,1.0,1.0,1.0,Serviced Residence,520.0,0,built-up 
26,9,610000.0,4.0,2.0,2.0,Condominium (Intermediate),1236.0,1,built-up 
28,18,1035880.0,4.0,4.0,1.0,Condominium (EndLot),1876.0,1,built-up 
29,30,1830000.0,3.0,4.0,0.0,Condominium (Intermediate),1668.0,1,built-up 
31,1,3300000.0,5.0,4.0,4.0,Condominium,3536.0,2,built-up 
32,23,560000.0,3.0,2.0,0.0,2-sty Terrace/Link House (Intermediate),880.0,1,land area 
